id,X,Y
89,"WANT ONE

I loved Harris Dickinson. The movie was weird, not somehow made sense in
the end. While watching it i had so many mixed emotions and thoughts. To
be honest i did expect something else. The storytelling was kinda weird,
i did not get it at certain times. Nicole was super convincing, i truly
felt her emotions. But the way Harris played his character was just
CRAZY. He showed us a man, confused in his sense of intimacy and love,
but also hesitant and deep. I loved him in this role. The end, for me,
was kinda disappointing, and did not see it coming, but overall i liked
it, was waiting a long time for that one and would recommend.",7
90,Cringeworthy,1
91,"A modern day Eyes Wide Open/9 1/2 weeks - maybe too risqué and shockporn

There is something odd and unique about Nicole Kidman doing risqué
sexual fantasy films with the theme of Old Cougar/ Mrs Robinson seducing
young boys is getting repetitive - yet this one is a bit more 9 1/2
weeks with some unique themes borderline soft porn for most viewers but
there is some tidbits of healthy/ unhealthy pseudo sexual modern
exploration.

The acting is decent by Kidman and Banderas but the young kid was not
very convincing and needs to learn some better erotic dance moves.

The plot and theme was hard to find believable and the boy kid could
easily have involved an older hunk or a sex therapist closer to Kidman
age to provide more depth and meaning - instead we are led to believe
that a juvenile kid /intern 20s has mastered the power/ domination
expertise without much explanation or character development besides
knowing how to control a powerful old women like a dog.

Is this really the new stage for power Feminism is woman of power need
young boys to dominate them. ??

A sad commentary on modern feminism yet the kink and sex themes are a
unique modern perspective that most might equate with soft porn
exploitation rather than a deeper individual sexual and childhood
exploration/ neurosis.

Regardless it is a rather bold and complex issue to explore in modern
cinema perhaps a bit too avant garde and kudos to the writer/ director
to get Kidman and Banderas to participate.

The ending is a bit tame and lame yet it tries to bring a safe
resolution to a very complex issue that basically is sending out a
message that a power CEO cheating on her husband is somehow acceptable
if the husband gets to play along and evolve in her sex fantasy world.

I'm very curious what this writer/ director next project explores ....
definitely a raw talent

6 stars for the acting, music but script was lacking.",6
92,Entertaining but terribly cast,7
93,"Babyporn

What can we truly say about this film, if we can even call it a film,
that is? The first thing a movie should have is a clear theme.
Unfortunately, this movie lacks any discernible theme at all. In films
of this nature, a significant event typically prompts a character to
think beyond their family. However, this film fails to provide any
meaningful explanation for such shifts. The movie is just a clumsy
imitation of the movie 9 1/2 weeks. This movie is like a porn movie
because it has no theme and only seeks to show nude scenes. I wish I had
the opportunity to talk to the director and ask her what the purpose of
making such a film was?",1
94,"Love knows no age

A fascinating sexual thriller of recent years, it attracts attention
with its unique love dynamics: the woman is older than the man by as
much as 30 years. At the time of filming, Nicole Kidman plays the role
of a 58-year-old woman, and Harris Dickinson is only 28. In modern
cinema, such a couple seems rare, because more often than not, it is the
man who turns out to be older. Kidman did a great job with the role, as
did Dickinson, who had a chance to shine in ""Triangle of Sadness"". The
love scenes are truly impressive, but I would like more variety and more
candid moments. The music and many dance scenes give the film a special
piquancy, creating an atmosphere of intriguing attraction. Overall, I
liked the film, I give it a solid seven. I also recommend Roman
Polanski's 1992 film ""Bitter Moon"", which also immerses you in the world
of passion and complex relationships.",7
95,"Preposterously dull, vulgarly ridiculous, unconvincing performances

I gave myself time to reflect on this film as I cherish my precious
time... if it would be possible, I would request not only a refund of my
money from Zurich Film Festival I would pursue a claim for damages
resulting from my precious hours lost in vain

I must admit that Nicole Kidman's acting style does not resonate with me
(certainly The Hours remains her only masterpiece in my opinion), so I
was intrigued and curious to witness the reasons behind the Volpi Cup
Best for Best Actress at the recent Venice Film Festival

I found the movie ""Babygirl"" to be preposterously dull, vulgarly
ridiculous, incredibly boring as it lacked any spark of sensuality due
to its unconvincing performances and a weak and predictable story line.",5
96,Movie about sexuality and asking for what you want,7
97,"Terrible story line/ cringy

So the trailer looked to be a promising movie. My wife wanted me to go
so I did. This movie was terrible hands down. The story line sucked in
my opinion. The ending made absolutely no sense. I suggest saving your
money and waiting for it to drop on a streaming platform if you really
wanna see it. Keep in mind I have watch plenty of these genre of movies
with my wife and most were great, but this one made me cringe and go
what the F$?k multiple times. The actors portrayed the roles well
though. As the movie ended and walking out of the theater other
spectators were conversation making the same remarks as my review
states. All in all not worth watching in the theaters.",1
98,"Psychologically interesting and intense dynamic

Very unique film and portrayal. Lots of people probably feel uneasy and
awkward by this movie and the entire premise. I don't normally write
reviews but this was a very unique and interesting film that actually
speaks to realities not fantasies of film like most movies. Loved the
entire dynamic and undertones of the movie it dips into serious human
nature and psychological natures. The man and female portrayals are very
much ""off brand"" in today's day and age and considered machinist and
defaming but reality is the human needs and nature are some much more
complex than that. It's a balance of trust, needs and comfort which we
fake and placate and this movie brings it to the forefront and
challenges people's ""morals"" and ""character"". It's so refreshing from
the BS romance and fake plots of most main stream movies.",10
99,"Steamy

A solid film but also full of missed opportunities. Steamy as hell, but
I felt it sometimes didn't know what it wants to be. An erotic drama
about adultery? A thriller, though I missed the thrill, or just a
character drama about peoples fantasies and obsessions. Yes it deserved
to be fleshed out more but in the end I was mostly entertained and the
acting saved it from triviality. Nicole Kidman was great and it was
surely a brave move for her to play that role the way she did. She
didn't only strip off physically but also emotionally. A good
performance. Harris Dickinson was okay but sometimes a bit too pale
especially when he tried to do the emotional stuff. But he was good at
being a seducer, that part worked very well. Antonio Banderas also had
some absolutely great moments in the film and I felt his performance was
the one in the film that showed off the most different facettes and for
that he was very underrated. I loved the soundtrack. Especially the part
with George Michael's Father Figure was extremely effective. Solid film
that deserves more work on direction and screenplay.",7
100,"Not an erotic thriller, arthouse sexploitation with good acting

Really went into this believing it was an erotic thriller but most of it
is just light submissive stuff with an overlay of female empowerment--or
it would seem anti empowerment as it's the woman who secretly wants to
be ""told what to do."" There is no thriller here, just a drama about
someone cheating, and cheating and cheating, only because of fantasies
that run counter to their mainstream life.

The director, be she gay or not, is, among other things, a therapist,
which is probably why the acting is first rate but there is also a lot
of talk and role playing. The only nudity is from Kidman that seems
rather strange and the whole thing has a sell out twist that makes it
all very safe. By that I mean that Kidman's character runs a corporation
yet is sexually unfufilled despite what seems a happy marriage and
kids--one of whom is either gay or trans--possibly. So the story concept
seems to be teasing the idea of does this powerful woman secretly want
to be helpless in order to be sexually happy? An edgy topic for sure.

The bulk of the movie, too much, are the sex scenes though mostly it's
about her being told to do things, like drink milk from a cat bowl. The
movie wallows in this stuff, perhaps fan of submission will enjoy it on
that level, why not? But the story, especially the ending, doesn't come
off in any kind of supportive or sympathetic way. As can be the case
this movie settles for a women good, men bad ending, leaving behind some
interesting and challenging elements along the way. And it's a long way,
there is little plot and the ending when it finally comes is rather
rushed.

Kidman is well cast and all the actors make the material more
interesting, if ultimately not compelling, for longer than would be
possible. Banderas as her husbands role should realy be larger.

Another thing is a fair amount of wealth porn, both Kidman and Bandaras
are super rich. This fights against some connection the audience could
have for them, but instead you'll find yourself saying, ""Wow, nice Pool.
Wow, nice office. Wow, he's a broadway play director. Wow nice wardrobe!

Interesting use of music and songs which is very loud and starts and
stops abruptly. A lot of shallow focus, the opening shot is effective
and unusual, but this lack of focus is distracting as it goes on, having
things pull in and out of focus, there are moments where one eye is in
focus and not the other, it's just not very well shot and feels a bit
like video. Kidman sometimes looks great and sometimes aging, which if
controlled could fit into the story very neatly, but it seems more an
accident of how it was lit and shot, not intent.

So again, this is NOT A THRILLER. It's slightly highminded arthouse
sexploitation film, if that's what you're looking for you'll find this
most satisfying.",5
101,Psychological sexual drama,7
102,"Compelling But Not As Complex As It Tries To Be

Babygirl ends up feeling like a bit less than the sum of its parts but a
compelling experience of a movie nonetheless that I can honestly say I
was never bored by. It was definitely an interesting film to see in
theatre given the content and the amount of moments that feel reaction
worthy and I think that definitely added to the overall experience.

Nicole Kidman gives a performance I would honestly describe as fearless
and I think it's her work that kept me as engaged as I was throughout.
It's a very multi faceted character that has quite a few traits that in
the hands of a lesser performer could've come across as conflicting. She
really is a legend for a reason and seeing her take swings like this at
this stage of her career is something I find very gratifying. Harris
Dickinson I thought was fine but I don't know that I got quite as much
out of that character as I wanted to. It's the type of character where
you have to feel a certain allure about right away but in my case I just
didn't really see it. Maybe that's because he just comes across as such
a strange person from his very first scenes. But I think a large part of
that comes down to the writing however and in how it portrays this
central relationship.

There's a line by Dickinson about 40 minutes in; ""I make one phone call
and you lose everything"" but it didn't really ring true to me at all. It
feels as if she's doing everything she can to spurn his advances up till
then and as soon as things actually start to heat up the film becomes
pretty montage heavy in a way that just feels as if it's rushing through
the progression of their dynamic. We certainly don't see erotic
thrillers at this level as much as we once did but I wouldn't really say
the film did much to put its own spin on the genre. The script didn't
ultimately go anywhere that I didn't expect it to and as a result there
weren't really any surprises for me. I think that's particularly
disappointing given the fact that I thought Halina Reijn's last film,
Bodies Bodies Bodies, felt like a very unique approach to the whodunnit
genre but that voice didn't really carry over to this film.

I also really did not care for the way the film was edited. It was
sloppily put together in places particularly in how it transitions
between scenes. They really end up feeling abruptly ended in ways that
gave me whiplash and a lot of moments feel awkwardly inserted into
overall narrative. That doesn't take away from the fact that it looks
absolutely gorgeous with a really colourful look and I ended up really
appreciating the Christmas vibe that the whole thing has. Halina Reijn
directs a lot of these scenes in a way that feels very intrusive that
works particularly well in the more intimate scenes. You end up feeling
like a fly on the wall in this sequences and the moments that made me
cringe felt totally purposeful.

Babygirl isn't quite as tight as I would've liked and it doesn't end up
feeling all that original but I have to be fair and say that I was never
not interested by it. It's got a central performance that's awe
inspiring to watch and I do think that I was feeling a lot of what I was
supposed to but I just wish the actual script was better. It's a solidly
done version of a movie we've seen before and suppose I just wanted a
little bit more out of it than that.",7
103,"Absolutely Not

This movie was so bad. I have never been blue-balled harder in my life.
They advertised this film as a kinky, age gap, romantic thriller. None
of that is true.

Every time I thought Sam and Romy were about to have a steamy scene...
cut to nothing. There was so much potential with the story and the setup
and I'm very disappointed with the execution. The ""After"" movie series
had better erotic scenes than this. Also, the slander of older women in
this film was bad, they kept pointing out how old Romy was as if a major
point wasn't the fact that she was older than Sam.

The music choice was also interesting because they kept using the same
song to add suspense that built to nothing, they did not explore the
kinky side of their relationship as much as they should have. Another
thing, Romy's back story of growing up in a cult and coming out as a
boss woman CEO is not made a big deal like it should be.

This movie is not empowering to women's sexuality at all. Period.",2
104,Harris Dickinson is hot,7
105,Huh?!,4
106,who is the target audience for this film??,7
107,"High Wire Act

""Babygirl"" is an extraordinary movie, all about the search for meaning,
and the extension of compassion. The acting is jawdropping throughout,
and especially in the scenes between Nicole Kidman and Harris
Dickinson-such listening, sense of play, bravery. Every scene between
them is a high wire act, and it's all about compassion and tenderness.
Nicole Kidman's character doesn't know this is what she will find as she
enters a dom/sub relationship with a younger man, but that is the case.

The movie is full of messy human emotion, of mistakes and regrets, but
everything that happens needs to happen for everyone to grow, and for
the central marriage to survive. All the components, including the
relationship with Kidman's protegée and her older daughter are carefully
placed pieces of the story, and the writer/director understands what
she's doing at all times.

This movie is the antidote to the ""50 Shades"" movies. It is all about
how our desires cannot be ignored, and that only in facing them and
accepting them can individuals and relationships be healed.",8
108,"Not exactly another ""9 1/2 weeks""",7
109,"Absolute garbage

I can't recommend this movie. Everything; the plot, the dialouge, the
ending etc let the audience down. They missed the mark on this one. The
characters lacked depth and the actor they chose for the male intern did
not make sense and was not believable. There was zero plot, way too many
regurgitated sex scenes that really just left people feeling
uncomfortable. Not even Nicole can carry this movie and its definately
not her best work. Most of it needs to be on the cutting room floor and
shot again. Some of the main characters reactions to things going on
around them weren;t credible, Even Nicole's representation of a powerful
woman struggling with exxxtreme fantasies was lackluster. Watching porn
and licking cream from a saucer just didn't cut it. Sorry, find
something else to watch.",2
110,"because they can spell their names correctly

The creators of ""Babygirl"" are like a desperate housewife on Christmas
day. She is rushing to bake the best meal possible for the whole family
but at the last minute she drops the roast on the carpet. Out of breath
she says; ""Husband! Come quick! Bring the other roast!"".

As you might have have already guessed there is no other roast in the
story. So what do our ""Babygirl"" creators do? They serve the cold, hairy
one straight from the floor.

Someone needs to tell them that borrowing someone else's movies to make
their own - especially a man's - is absolutely necessary to avoid.

Oh, and one other thing. Half a century and some change ago Simone de
Beauvoir did us a favor and wrote some books. Apparently they were sick
that day in school and missed the class. Please help them stand on their
feet and educate themselves because it seems that they only respond when
a bell is rung.",1
111,"Almost a spiritual sequel to ""Eyes Wide Shut""

Babygirl is a bit messy, yet it's sexy nature, character dynamics,
direction and strong performances from Nicole Kidman and Harris
Dickenson pulls into the center of humiliation, desires, control, and
empowerment.

Halina Reijn's direction remains strong on capturing the essence of it's
setting and nature. Powered with interesting themes and character
dynamics between each other. Alongside with good production designs and
camerawork. Narrative wise, the story is a bit predictable. Because
stories like this aren't new and it did drag some moments and my
connection with the characters aren't fully invested as I would have
hoped for. But I do appreciate some of the new concepts and ideas it did
explore. The ideas of hypocrisy and double standard are explored
solidly.

Overall, it seems A24 is going for more popular standard concepts
recently which I am happy for them being able to spread out for wider
audiences. I recommend this for a good erotic thriller, just not
something that I say is amazing.",6
112,"Enjoyable movie, but not enough chemistry between the leads

A pretty good movie. It keeps you engaged and on your toes. The only
thing that needs some work is more chemistry between Romy and Samuel,
and also more sex scenes! I mean the movie had a pretty good amount of
raunchy scenes, but I felt it wasn't raunchy enough. Too much foreplay
and building the tension without enough climax between the two main
characters. The acting was good and the storyline was also good. Not a
lot of heavy bdsm stuff in this movie, it's pretty light play but that
didn't stop me from enjoying the movie. I also wish they took the
relationship between Romy and Samuel deeper, I just felt like something
was lacking...",7
113,"Difficult even for nowadays to create such a low value movie

Besides the non existant.scenario, it started the first second with a
sex act, with a profound intention to schock spectators. Director and
writer, being the same person, did not use more than 50 english words
througout the movie, half of them were meeningless stereotypes. I must
have heard ""I don't know"" more than 30 times and ""I 'm ok"" more than 50
times. I could never imagine that an talented mature actress such as
Nicol Kidman would ever play in such a movie. As CEO in a company of no
goal, no role, no message, NK acting was a tragedy. Unmatching
characters, predictable behaviors and scenes out of nowhere. Antonio
Banderas had only a single act of merit. Costumes acceptable,
meaningless music, repeated same meaningless scenes over and over in a
non existant skyscraper balcony. Never wasted before 2 hours of my life
in such a way.",1
114,"Interesting enough but hardly original

Although it's nice seeing heavyweights Nicole Kidman and Antonio
Banderas together on the screen, the story, while well done, is fairly
tiresome and predictable. Some big plot holes and character
underdevelopment (the assistant, the children) further make this an
undistinguished albeit well made time passer. The real plus here is a
great performance from Harris Dickinson, surely one of today's most
underrated actors. He always chooses otherwise interesting projects,
with Triangle of Sadness among the front runners in film and Trust for
TV. He gives Babygirl a much needed lift with his odd and unpredictable
turn.",6
115,"Not impressed with that movie

I didnot expect that type of movie. I asked before I bought tickets and
I didnot get much info about it. Title is deceiving. It has nothing to
do with the Advertisment. It is about failing relationship with
unacceptable behaviour. I didnot like it, it was humiliating to see man
treat women like dog. We are ending 2024 expecting great story and nice
upcoming movie but this one was opposite. Tomato is getting more rotten.
They could do better in term of creating story and bring to audience
some great captures than a women that failed in her personal life and
get vulnerable by non sense. Next time I will do my research before I
waste money.",1
116,Harris Dickinson is a sexual Mary Poppins,7
117,"Cringe & disturbing

The movie felt confusing, strange dialogue, which wasn't that good. The
scenes with Antonio felt overacted for the movie. I did not feel
invested and couldn't connect emotionally to any of the characters. I
kept waiting for the thriller part of the movie, but it never came,
which was also confusing. I did not enjoy the movie and felt second hand
embarrassment for Nicole. Some scenes felt overstretched with no need
for it. All in all, I would't recommend you go see it in cinema. And
maybe I wouldn't recommend you see it at all. I was expecting way more
from the movie, but there have been many flops in the recent years, even
though they contain top actors and actresses.",4
118,You're Missing The Point,8
119,"Erotic, Psychological Thriller

Babygirl is a thought-provoking, erotic, psychological thriller.

The whole story is a character study and I realised that near the end of
the film. Both leading characters are very complex. I still wonder
whether Romy wanted it or not. There are also great moments, for example
in Romy's eyes Isabel's actions with the girl next door verified her
own. It was a little frustrating when I realised that none of the
characters make good decisions when needed, but that's also very
realistic. On the other hand I couldn't feel connected to any of the
characters except for Jacob, but the movie doesn't focus on him too
much. So wasn't too intrigued throughout the whole film.

The cinematography is great, I loved the longshots, but it's not the way
of filming that is outstanding, but the acting performances. Both Nicole
Kidman and Harris Dickinson are amazing. In the beginning there was a
little use of CGI which was terrible in my opinion. The score and
soundtrack on the other hand is extremely powerful and my favourite
aspect of the film. The cast is great, I didn't know some of the actors
involved, so I was surprised to see Esther-Rose McGregor after seeing
her in Obi-Wan Kenobi a few years ago.

Babygirl has its amazing aspects, but overall it's a little boring and
it's not outstanding.",7
120,Direction and writing fell way short,1
121,"Babygirl is baby not

I was really excited too see due to being a 50shades fan. But this
really had no case or purpose except an over stressed high power
sexually repressed older woman. She has the perfect life but this
younger man gets pleasure of telling her what to do and treating her
like a dog. I thought it was degrading and the story made no sense and
the ending was so dumb and unrealistic. Not Nicole's fault finest.

Both her and Antonia over acted and the chemistry was not there. Highly
disappointed 😞 Do not recommend. Not sexy, not romance, just fizzled out
for me.👎👎👎👎👎👎👎. Plus I think Nicole needs more mature roles.",6
122,"Nicole Kidman is once again ""the super star""

The movie could have gone way more hardcore in the implications of sex,
desire, power, humiliation and why not, love, surrendering and letting
go.

Yet in conveys a smart, efficient, perhaps a little bit distant, study
of a woman overwhelmed by pressure, responsibility, power hence
perversions.

And then there's Samuel, this ""bestial"" hot young guy willing to play
the game in a very realistic, convincing, ""turn on"" way.

Overall, I think it's great when sex is taking seriously in
blockbuster's movies, and when compelling and disagreeable characters
are made human and relatable like Nicole Kidman does, one just can say,
""good movie"" 😏",7
123,"Love Nicole but this missed the mark

I'm going to be honest. For the first time in over 20 years I left
before the movie was over. There was no building of the characters. I
wanted to know who she was that led her to where she is now. Nothing
except flash backs to a cult. It could have been so much better. I liked
the premise of the film. An overachieving CEO woman who likes to be
dominated in the bedroom. I guess it was supposed to be 50 shades of
grey with a high power female with a younger male intern. Dynamics
differ because she could loose her marriage and business. Acting was
good. Nicole is beautiful. I will probably finish the film when it comes
out on prime but don't waste your money.",1
124,"Working Girl

Babygirl opens with Nicole Kidman and husband Antonio Banderas having
the kind of passionate, intimate sex you see in Hollywood movies. When
they are done, Kidman quickly scampers off to another room to enjoy some
pornography. Hollywood sex you see, often doesn't cut it in the real
world. And that's really the crux of writer/director Halina Reijn's
latest film, even ideal isn't good enough if you aren't being honest
with yourself.

Kidman plays Romy Mathis, a tech company CEO with a charming and
handsome theatre director husband (Banderas), a seemingly good
relationship with her two children and at least two palatial homes. She
has accomplished the ""have it all"" life women are told to aspire to and
works hard to keep it, striving to be the best at her job, undertaking a
painstaking (and painful looking) beauty routine including such delights
as numbing free botox and ice baths and attempts to be the ideal loving
and supportive wife. The problem is, she isn't satisfied in the bedroom,
longing for something a bit more out there than her gentleman husband is
comfortable with (for a creative type he is a bit of a square). Enter
tall drink of water Harris Dickinson as young intern Samuel. He first
catches her attention in the street when he calmly brings an out of
control dog to heel and when they later meet at work it turns out he has
an intuition for seeing what people need and quickly spots Romy is
desperate for somebody to call the shots over her. She makes half
hearted attempts to quell his directness but the pair soon end up in a
master/slave style sexual relationship with the fact she is risking both
career and family only fuelling Romy's desire. The central affair may
have been billed as steamy, erotic thriller fodder, and at times it is,
but it also has painfully awkward moments as the pair navigate their
situation and find their roles. One scene involving milk will bring back
nightmares to UK viewers who remember an infamous episode of Celebrity
Big Brother.

The best thing about Babygirl is that it isn't a film that sets out to
judge or punish its lead character for having sexual desire. There is a
worrying mention early on of Romy having been raised in some sort of
cult but the film settles on her desire to get freaky being part of her
natural character rather than a character flaw. The moral dilemma is in
her actions, not her wants. Embarking on an affair behind your partners
back is one thing and the power dynamic between Kidman and Dickinson is
interesting (and certainly not something that would have worked were the
genders reversed). She is his superior snd supposed mentor but in many
ways the power rests with him as he can, as he says, ""end her with a
phone call"". More grey area is added by Dickinson's enigmatic portrayal
of Samuel, there is no doubt he is one hundred percent complicate in the
relationship, the instigator in fact, but it is mostly unclear how much
his child like outbursts are part of a controlling game and how much he
is just not emotionally equipped for the situation.

It feels a bit redundant to say Nicole Kidman is good but she really
locks down a challenging role. For a film of this type it's low on
nudity but high on emotional vulnerability and she deftly avoids the
trap of making Romy a Jekyll and Hyde character with two separate
personalities. There is enough fragility in her polished CEO mode that
we can see she needs something more and enough steel to let us know that
she put herself in her predicament willingly. Both Dickinson and
Banderas are also great and there is a low key fantastic performance
from Sophie Wilde as Kidman's subtly frustrated assistant, tired of not
get her due and her boss's lack of action on improving things for women
in the workplace.

The films weaknesses are mostly related to the story telling. It was
obviously never going to be a plot heavy film; you know two people are
going to meet, embark on an affair and eventually there will be some
sort of reckoning. There's no problem with that but a couple of things
don't quite ring true. For instance, Romy is taken aback by the way
Samuel begins challenging her at work when surely slapping down cocky
young men at work is part and parcel of daily working life for women in
positions of power. The timeline is also a little confusing, with
birthday parties, fallings out and montages it feels like a fair bit of
time passes yet the decorated trees suggest the entire film takes place
in the run up to Christmas.

Ultimately, your milage with Babygirl with depend on your ability to get
on board with the main character's inner struggle. On the one hand, it's
a film about a one percenter who takes advantage of her position of
power to cheat on a loving husband rather than just tell him to get a
little nasty between the sheets. On the other, its the story of a women
who has done everything right but is still not whole because society has
told her that being herself is in someway shameful and the damage that
can do to a persons life. Or you can just pretend you are watching an
after hours Hallmark movie.

7 pocket cookies out of 10.",7
125,"Kidman's worst movie

This movie has no plot, it's not seductive, it's stupid. Nicole Kidman
does not have a nice body, she has knobby knees and no feminine curves.
There or no sex scenes. Nicole has fantasies but this movie doesn't meet
criteria for a sex fantasy movie. I don't know anyone who would get on
their knees and drink milk out of a bowl like a dog as Nicole did as
part of seductive behavior. The guy played a non romantic sexest, and
usually the reason someone goes to that level is to gain power and
money. I don't know what he was doing to provide a fantasy but treat a
woman like a piece of dirt. Anyway, it was a waste of money to see this.
The movie is nothing of what the trailer portrays it to be.",1
126,"Kidman Bares Soul (and Body Parts) In a Bold, Ironic, Thoughtful Film

Halina Reijn is a well-regarded Dutch actress. Since her debut as a
writer/director with the film ""Instinct"" (2019), she's shown some deft
skill on the other side of the camera. ""Instinct"" centers on an affair
between an experienced psychologist and a serial rapist being considered
for release from prison. The film explores feminism, sex and power.
""Babygirl"" revisits these same topics.

Romy (Nicole Kidman) is the CEO of a robotics company in NYC. She's
tightly controlled, perhaps even a little obsessive. (She puts
handwritten notes in her kids' knapsacks.) Romy goes to therapy, gets
regular botox injections and engages in a wide variety of other
activities in a futile effort to control her appearance, her feelings
and everything else around her. Into her life saunters Samuel (Harris
Dickinson - ""Triangle of Sadness""), an intern at the company. Romy
becomes his mentor. Right. During their initial ten-minute meet and
greet, Samuel blurts out ""I think you like to be told what to do."" He's
mortified. She's flustered and thrilled. Soon enough, they begin an
affair. He revels in telling his boss what to do. She enjoys being told.
What's fascinating about their interactions is the raw nature of it all.
Both are responding to feelings, intuitions and urges they don't fully
understand. Samuel's ""commanding"" presence is actually riddled with
self-doubt. At one point, he says, ""I scare myself sometimes."" Romy,
too, is chock-full of contradictions. She's a powerful female CEO in a
male-dominated field who's terrified to ask for what she really wants.

Expect both Kidman and Dickinson to be in several awards conversations.
Kidman is arguably the most courageous A-lister working today. She's
fearless about baring her soul - or her body parts. (Check out TV's ""Big
Little Lies"" and ""The Perfect Couple,"" the films ""Eyes Wide Shut,"" ""Dead
Calm,"" ""To Die For"" - you'll get the idea.) Here, the immersion of both
actors in these challenging roles is enough to make this project
must-see viewing.

This film is occasionally uncomfortable, frequently disconcerting and
consistently complex. In interviews, Reijn has expressed her admiration
for ""9 ½ Weeks,"" ""Fatal Attraction,"" ""Secretary"" and the work of Dutch
director Paul Verhoeven (""Showgirls,"" ""Basic Instinct""). However, her
appreciation doesn't stop her from turning the erotic thriller genre on
its head. In ""Babygirl,"" the power figure is obviously female. The
ambivalence and self-doubt of her two main characters undermines the
stereotype of the always-confident man in charge. At one point, Romy
blurts out that she has not had an orgasm in 25 years of marriage. Her
husband, Jacob, is played by heartthrob Antonio Banderas. Jacobs works
in theater. Currently, he's directing ""Hedda Gabler,"" Henrik Ibsen's
play about a woman constrained by society and trapped in a loveless
marriage. Clearly, Reijn has taken great delight in crafting a world
filled with so many ironies and contradictions.

""Babygirl"" develops several provocative ideas. The film implies that sex
is the area of life where we are all most prone to embarrassment and
self-doubt - and least likely to say what we want. It also suggests that
sex is the human activity most consistently associated with confusion
and shame. In addition, Writer/Director Reijn takes a few jabs at
conventional female empowerment. At one point, a subordinate looks at
Romy accusingly and says, ""I genuinely believed women with power would
behave differently.""

""Babygirl"" is a film that asks a lot of questions without offering many
answers. If you need a film that makes decisive statements about the
human condition, this isn't for you. It's a film that's unapologetically
raw and messy (read ""European""). But if you're open to playful
ambiguity, provocation and a bracing dose of confusion, this film is
well worth your time.",7
127,"CEO cheats on her husband the movie

The story follows a narcissistic female CEO who becomes infatuated with
the office's most oppressive, hypersexualized intern, leading her to
cheat on her husband, all told through a romanticized, emotional lens.

The intern's predatory behavior is disturbingly rewarded, and hypocrisy
runs rampant in this movie. Perhaps in a half-hearted attempt to explore
the contradictions of the female psyche. Even if so, the film remains
unrealistic, slow, strange, and dull.

So a waste of time...",3
128,"You don't have to find it sexy...

I had heard this film was terrible so I went in expecting very little
but thought it was actually very good. So many of the negative reviews
here seem to centre on whether the viewer found it erotic or not, which
so misses the point. It's a human story of flawed humans, their desires
(not yours) and the risks they take as well as the sacrifices they make
(this woman was having unfulfilling sex for decades and we know that's
not news). The Harris Dickinson character is immature and nervous (and
perfectly dressed in sweats, rucksack and ill-fitting suits), trying to
find his way - those who thought he was arrogant and unbelievable must
have had a layer missing. Nicole's character is a stereotype, sure, but
so what? I found her portrayal of a sexually frustrated wife and mother
to be realistic, the complexities of power in the workplace, especially
with her assistant, also pretty true to life.

All the way through, I empathised with her and the state one gets in
when consumed by desire... the guy is so young, he IS cocky but that's
literally the ignorance of youth - that veil comes down in private
moments. To make a movie about a high powered woman who risks it all for
an affair with a young man is fraught with risks and cliches but I
really thought the director avoided all that. It's good!",8
129,"A Classic Affair Story Made Compelling By Its Cast

7.5/10 Affair stories were never my cup of tea, and for those who feel
the same, Babygirl is the best that you could possibly taste, Nicole
Kidman and Harris Dickinson elevate the film with their strong
performances, portraying characters who are as morally wrong as they are
manipulative, Dickinson, in particular, delivers a performance that
feels raw and unsettling, making his character control and mind games
felt real, Antonio Banderas is also a standout as this good father
figure as well as their daughter played by Esther Rose McGregor and
Vaughan Reilly, ultimately, Babygirl remains a typical affair story that
there's wasn't too much new thing in it, a little bit too long, but
still what makes it good is the strength of its performances and
characters, it's a well-produced film, though story-wise, it treads
familiar ground.",7
130,Senior citizen Nicole Kidman has an affair with a 25-year-old intern,1
131,.,5
132,Reconciliation and Reflection.,7
133,"A very psychological and sexual film that is one of the most unique
films of last year.

This film was definitely very raunchy, but I guess that's the nature of
the film. It actually didn't have as much of that kind of content as I
thought it would.

Nicole Kidman, Harris Dickinson, and Antonio Banderas were all
phenomenal in this film. They all deliver amazing performances. The
scene where Antonio Banderas's character finds out about Nicole Kidman's
character's affair is some of the best acting I've ever seen from him.
Just outstanding.

The score and soundtrack were both terrific. The scene where Harris
Dickinson dances to Jesus to a Child by George Michael was spectacular.

Overall, this was a good film and an enjoyable watch.

Romy: I see myself as a...

Samuel: Power-hungry personality?

Romy: You think that's what I am?

Samuel: I think you like to be told what to do.",7
134,"Definitely better than Fifty Shades of Grey

I intentionally avoid all trailers and go into movies knowing as little
as possible. This is an example of when that mostly beneficial strategy
backfires. I would never have chosen a movie made for bored and
unfulfilled wives, where the main draw is the ""thrill of the wrong.""

With some decent filmmaking aspects, good performances, and a meager
attempt at being artistic, it's not as atrocious as Fifty Shades of
Grey. But the end result is the same, a trashy waste of time. It's
extremely boring and useless, never amounting to anything or going in
any interesting directions.

Certain aspects of this movie remind me of another 2024 release, The
Substance. It also stars an aging actress with themes of trying to stay
young, explicit scenes, and attempts at being artistic. But the
difference couldn't be more drastic. The Substance succeeds at
entertaining you, shocking you, and creating a memorable piece of art.
Whereas Babygirl is just low class smut.

(1 viewing, opening Wednesday 12/25/2024)",2
